ip,status,hostname,mac,vendor,latency_ms,ttl,os_hint,open_ports,scanned_at
10.80.80.76,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.146794
10.80.80.67,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.125897
10.80.80.86,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.185163
10.80.80.84,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.183270
10.80.80.91,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.190522
10.80.80.71,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.141925
10.80.80.92,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.191688
10.80.80.48,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.070168
10.80.80.66,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.124232
10.80.80.99,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.232311
10.80.80.75,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.145241
10.80.80.72,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.142959
10.80.80.69,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.136490
10.80.80.70,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.139983
10.80.80.95,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.217664
10.80.80.101,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.752676
10.80.80.107,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.985011
10.80.80.102,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.980334
10.80.80.104,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.981204
10.80.80.108,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.986445
10.80.80.106,dead,,,,-1.0,-1,,,2026-04-09T17:33:31.984632
10.80.80.121,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.022636
10.80.80.110,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.012116
10.80.80.125,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.023983
10.80.80.128,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.032045
10.80.80.156,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.044066
10.80.80.123,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.023340
10.80.80.132,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.034175
10.80.80.150,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.042639
10.80.80.139,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.036289
10.80.80.119,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.021577
10.80.80.120,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.022034
10.80.80.159,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.047053
10.80.80.148,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.041048
10.80.80.109,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.012040
10.80.80.126,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.024088
10.80.80.122,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.023277
10.80.80.155,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.043917
10.80.80.141,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.036816
10.80.80.144,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.037950
10.80.80.153,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.043321
10.80.80.158,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.044365
10.80.80.136,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.035348
10.80.80.138,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.036193
10.80.80.152,dead,,,,-1.0,-1,,,2026-04-09T17:33:32.042963
